State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.18747	4.06370	3.88320	3.72334	3.59441	3.45002	3.32109	3.14060	3.09934	2.88275	2.75898	2.58880	2.51145	2.52176	2.59912	2.75898	2.88275	2.85181	2.71773	2.76414	2.73320
2	3.64730	3.51222	3.44761	3.22443	3.13046	3.09522	3.07172	2.97775	2.71933	2.59011	2.55487	2.73695	2.82505	2.96013	2.91314	2.89552	2.90727	2.97188	3.13046	3.18332	3.17744
3	2.12874	2.12294	2.12004	2.16064	2.21865	2.20124	2.41006	2.48256	2.57537	2.59277	2.60437	2.54057	2.53767	2.47096	2.55797	2.64497	2.68268	2.73778	2.81899	2.73778	2.70588
4	1.54816	1.57332	1.61734	1.66871	1.62259	1.65718	1.65822	1.75990	1.84899	1.85528	1.83537	1.91084	1.94857	1.99574	2.01146	1.99259	2.02089	2.00622	1.98211	2.03557	2.09217
5	1.57215	1.54397	1.61723	1.66794	1.73838	1.73556	1.75810	1.79473	1.70739	1.67358	1.63695	1.67076	1.59751	1.47354	1.38901	1.34393	1.28758	1.27913	1.34957	1.34112	1.29040
6	0.86391	0.83530	0.81077	0.79169	0.73037	0.73855	0.76853	0.75899	0.73719	0.73446	0.70993	0.68541	0.68132	0.68132	0.65543	0.64861	0.64180	0.64044	0.63363	0.64589	0.67314
7	3.58310	3.57264	3.53926	3.52034	3.51685	3.46554	3.39331	3.31809	3.23540	3.14623	3.03067	2.89916	2.79106	2.68596	2.58434	2.48072	2.38259	2.31136	2.23415	2.16690	2.11360
8	0.39925	0.40388	0.40851	0.40758	0.40804	0.41545	0.42239	0.42470	0.41822	0.40619	0.40249	0.40342	0.40296	0.40712	0.40342	0.40897	0.41128	0.41313	0.41498	0.41730	0.41869
9	0.64446	0.64736	0.64980	0.65336	0.65840	0.66221	0.66668	0.67182	0.68265	0.69836	0.71580	0.72902	0.73990	0.75236	0.76502	0.77595	0.78409	0.79171	0.79863	0.80478	0.80722
10	1.46987	1.47447	1.47723	1.46434	1.46066	1.46710	1.45238	1.43766	1.41420	1.39672	1.38430	1.36589	1.36497	1.34381	1.32541	1.30793	1.30379	1.29597	1.29091	1.27342	1.28170
