State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	7.65613	9.46320	11.23840	13.40050	15.59902	17.34692	18.24362	17.87493	16.26814	12.91346	13.59623	25.43092	34.75756	41.82651	45.03098	44.52573	40.73863	34.63466	28.29400	22.86370	18.07065
2	4.76413	5.50027	6.81701	8.71437	11.65372	16.09645	23.03788	32.72167	45.24631	60.28003	66.86894	54.22507	40.97466	28.21673	19.26390	13.42148	9.17575	6.50597	4.67082	3.60291	2.92898
3	4.53350	4.85348	5.65471	6.68889	7.78195	9.25386	10.50307	11.12255	9.94502	6.27675	3.77066	3.78602	4.04968	4.74340	5.37569	5.52672	5.14530	4.43110	3.64779	3.08718	2.68528
4	3.33064	3.57858	3.60264	3.66370	3.62577	3.38337	2.87452	2.17972	1.61721	1.45808	1.32023	1.22956	1.23326	1.32023	1.43032	1.67179	2.00948	2.24355	2.33145	2.32589	2.25836
5	3.69047	3.34977	2.98420	2.38985	1.84275	1.32300	1.04945	0.92262	0.87537	0.85299	0.88283	0.84801	0.85299	0.96489	1.26331	2.02180	3.74020	6.28424	8.58954	9.97719	10.88240
6	0.94895	0.82387	0.68435	0.60858	0.54604	0.48711	0.43058	0.41975	0.39810	0.39329	0.37645	0.38006	0.41133	0.42577	0.43298	0.47989	0.57731	0.76854	1.09448	1.53468	1.98811
7	0.69953	0.65117	0.62259	0.57950	0.54344	0.51662	0.48673	0.47134	0.46518	0.46254	0.46562	0.47266	0.48321	0.48980	0.50168	0.52190	0.55751	0.62171	0.70569	0.83275	0.96466
8	0.28176	0.28094	0.27808	0.27522	0.27032	0.26665	0.26012	0.24991	0.24419	0.24378	0.24623	0.24787	0.25113	0.25644	0.25522	0.25562	0.25767	0.26052	0.25930	0.26175	0.26175
9	0.69019	0.66120	0.62987	0.58795	0.54254	0.49259	0.44457	0.40247	0.36980	0.35086	0.34090	0.33560	0.34386	0.35526	0.36931	0.38802	0.40709	0.42998	0.45561	0.47612	0.49555
10	1.90079	1.92799	1.94830	1.96048	1.93693	1.89104	1.82485	1.73552	1.65349	1.60639	1.57309	1.58934	1.65268	1.73552	1.81429	1.85896	1.92068	1.93571	1.93611	1.91500	1.89023
