State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.67420	20.22466	4.86332	2.07218	2.75927	13.59665	19.76431	0.20249
2	0.59197	65.84403	8.07273	1.19605	2.55514	66.86581	20.35025	0.34474
3	1.19882	3.12235	2.01417	1.01851	2.60464	3.77078	5.83066	0.39904
4	3.31699	0.74709	1.46508	1.09075	1.83451	1.32027	2.37490	0.52518
5	1.23402	0.27039	1.53595	2.25927	1.63430	0.88285	2.73680	0.22308
6	2.55153	0.31762	0.87481	2.28099	0.71001	0.37647	0.66865	0.21700
7	6.97962	0.75872	3.90136	2.26484	3.03048	0.46564	0.62607	0.27751
8	7.51523	0.19790	0.33274	0.47478	0.40253	0.24624	0.28156	1.59559
9	68.38019	0.25810	0.58685	0.84549	0.71587	0.34091	0.49254	1.10903
10	7.55743	2.06287	1.41336	0.96026	1.38444	1.57314	1.92024	0.90594
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
