State (Emission order)	H3k27meRep1	H3k9acRep1	H3k27acRep1	H3k4me2Rep1	H2azRep1	H3k04me1Rep1	H4k20me1Rep1	H3k79me2Rep1	H3k36me3Rep1	H3k09me3Rep1
1	0.36488377247223996	0.9619513719269775	0.7256664155189319	0.9775728474741112	0.1917510156070854	0.4752425292054196	0.2748943227254583	0.9500222610298823	0.052654861447009656	0.021767580604878514
2	0.259721582356545	0.6611967410113573	0.3716221589929195	0.8838007098755635	0.28789756476289735	0.07699767365846807	0.014226666413107474	0.02391498291806487	1.2528185637890587E-4	0.012948162774670641
3	0.1410414708204998	0.5007706292101973	0.4213301416637406	0.8610460691546927	0.3211151531135696	0.9775637976424463	0.031092154034591323	0.03905429173084066	0.0069325028813467205	0.004369252162202502
4	0.05482367170825668	0.015526313055281942	0.03656017948435126	0.09480049866010386	0.06106455202969977	0.7484796211474177	0.018075252217624994	0.010116560809656547	0.013207316465411463	0.006319427578598388
5	4.7328641666763215E-4	0.09913946435060607	0.14336237326853396	0.23986894479400234	0.008019325623829473	0.8820106770306219	0.36325154876150556	0.8474478995111941	0.19529516331382923	0.0032953749844171227
6	5.430511486961296E-4	0.0034973542438980496	0.003796399756453054	9.82027583934339E-4	0.0026242000825461185	0.048551491783921104	0.17258853320468306	0.6405132436120775	0.14641535599767866	0.010533388116654411
7	1.3207298669659902E-4	0.0025781456185606584	0.0017833384395743125	1.3144866456698322E-4	0.001304901290427746	0.006938176318174254	0.03290485138129074	0.02044351443187251	0.2864239305004739	0.0011184811484472102
8	0.005179703487276104	3.35498641093056E-4	1.0159144056846276E-4	2.836093981115676E-4	0.013836021125409406	8.638950117659148E-4	0.0027979421129318885	0.002095304298146711	0.002741436021211651	0.5421767709208636
9	0.005032135409726319	2.948286072614822E-4	1.8776410430445687E-5	1.5739696235138458E-4	0.004711011442056574	8.122137984793278E-4	0.0043171278950825355	3.524369427631409E-4	8.579523949123909E-4	0.0030038163174011742
10	0.37676919934461334	0.0020310646517577658	9.987346235783052E-6	0.002877638212053254	0.017878513467761568	0.01118578549480274	0.040365866584733456	2.8968991773005816E-4	2.1049000190926528E-4	0.003521968571187374
